음식이미지(ID),식당(ID),식당명,지역명,메뉴(ID),음식이미지(URL)
763,1583,원조한치,서울특별시 중구,690472,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1287864_1638844962_menu.png
768,1725,명동교자(본점),서울특별시 중구,319,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/122570_1638845051_menu.png
764,1917,미성옥,서울특별시 중구,355,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/122215_1638844991_menu.png
122,2522,조박집투(별관점),서울특별시 마포구,2325963,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1408075_1638842667_menu.png
124,2522,조박집투(별관점),서울특별시 마포구,2325965,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1408077_1638842667_menu.png
126,2522,조박집투(별관점),서울특별시 마포구,2325966,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1408078_1638842667_menu.png
765,3238,봉추찜닭(명동중앙우체국점),서울특별시 중구,993804,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/122641_1638845019_menu.png
766,5216,삼호복집,서울특별시 서대문구,1188,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2291873_1638845019_menu.png
767,5730,다도해물집,서울특별시 중구,1525798,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2291698_1638845050_menu.png
769,6456,명동교자(본점),서울특별시 중구,1483,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/122570_1638845051_menu.png
180,6498,유래회관,서울특별시 성동구,1496,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1446334_1638842685_menu.png
181,6498,유래회관,서울특별시 성동구,1497,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1446335_1638842685_menu.png
182,6498,유래회관,서울특별시 성동구,1498,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1446336_1638842685_menu.png
183,6498,유래회관,서울특별시 성동구,1499,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1446337_1638842685_menu.png
184,6498,유래회관,서울특별시 성동구,1502,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1446340_1638842685_menu.png
185,6498,유래회관,서울특별시 성동구,1503,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1446341_1638842685_menu.png
770,9423,도스타코스(종로점),서울특별시 종로구,362071,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2746424_1638845052_menu.png
771,9468,카페 드 파리 ,서울특별시 중구,362114,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1431256_1638845053_menu.png
772,9484,골목집,서울특별시 중구,1453933,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2555441_1638845053_menu.png
241,9541,신금호마포숯불갈비,서울특별시 성동구,452144,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748115_1638842976_menu.png
242,9541,신금호마포숯불갈비,서울특별시 성동구,452147,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748118_1638842976_menu.png
243,9541,신금호마포숯불갈비,서울특별시 성동구,452148,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748119_1638842976_menu.png
244,9541,신금호마포숯불갈비,서울특별시 성동구,452149,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748120_1638842976_menu.png
245,9541,신금호마포숯불갈비,서울특별시 성동구,452155,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748236_1638842976_menu.png
246,9541,신금호마포숯불갈비,서울특별시 성동구,452160,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748241_1638842976_menu.png
247,9541,신금호마포숯불갈비,서울특별시 성동구,452161,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748242_1638842976_menu.jpeg
248,9541,신금호마포숯불갈비,서울특별시 성동구,452162,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748243_1638842976_menu.png
249,9541,신금호마포숯불갈비,서울특별시 성동구,452143,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1748114_1638842977_menu.png
773,11029,울릉도조개구이,서울특별시 종로구,846643,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2292114_1638845054_menu.png
250,11135,송림식당,서울특별시 광진구,2506,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2174964_1638842979_menu.png
251,11135,송림식당,서울특별시 광진구,2509,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2174967_1638842979_menu.png
252,11135,송림식당,서울특별시 광진구,2507,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2174965_1638842980_menu.png
435,11229,벽제갈비,서울특별시 서대문구,781417,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2291860_1638843928_menu.png
437,11229,벽제갈비,서울특별시 서대문구,781418,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2291861_1638843928_menu.png
141,11265,혼마참치,서울특별시 구로구,328219,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2709640_1638842680_menu.PNG
149,11265,혼마참치,서울특별시 구로구,328218,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2709639_1638842681_menu.PNG
775,12804,백제삼계탕,서울특별시 중구,2730,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/123734_1638845055_menu.png
776,12812,유림옥,서울특별시 중구,1454273,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2572088_1638845055_menu.png
777,15074,스시한판(명동점),서울특별시 중구,362185,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/123879_1638845059_menu.png
298,15491,신의주찹쌀순대,서울특별시 강남구,3475,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/614224_1638843254_menu.png
300,15491,신의주찹쌀순대,서울특별시 강남구,3476,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/614225_1638843254_menu.png
302,15491,신의주찹쌀순대,서울특별시 강남구,3478,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/614227_1638843255_menu.png
304,15491,신의주찹쌀순대,서울특별시 강남구,3482,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/614231_1638843271_menu.png
306,15491,신의주찹쌀순대,서울특별시 강남구,3484,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/614233_1638843271_menu.png
